commit	score	memory_gb	status	description	agent	design
baseline	1.0	0	keep	default config	setup	baseline
EXP-001	0.0	0	discard	zero swing + max right_bias: pure right push fails completely	agent0	blackboard
EXP-002	1.0	0	keep	swing_aggression=0.1 still perfect, same avg steps	agent0	blackboard
EXP-003	1.0	0	keep	swing_aggression=0.0 still perfect — parameter may be irrelevant	agent0	blackboard
EXP-004	0.98	0	keep	momentum_threshold=-0.07 (extreme neg): slight degradation 98%	agent0	blackboard
EXP-005	1.0	0	keep	momentum_threshold=0.07 (extreme pos): still perfect	agent0	blackboard
EXP-006	1.0	0	keep	position_switch_point=-1.2 (min): still perfect	agent0	blackboard
EXP-007	1.0	0	keep	position_switch_point=0.0 (max): still perfect	agent0	blackboard
EXP-A1-001	1.0	0	keep	momentum_threshold=-0.01 (avg_steps=140.6)	agent1	blackboard
EXP-A1-002	1.0	0	keep	momentum_threshold=0.01 (avg_steps=137.0)	agent1	blackboard
EXP-A1-003	0.98	0	keep	momentum_threshold=-0.03 (avg_steps=143.4)	agent1	blackboard
EXP-A1-004	1.0	0	keep	momentum_threshold=0.03 (avg_steps=137.0)	agent1	blackboard
EXP-A1-005	0.98	0	keep	momentum_threshold=-0.05 (avg_steps=143.4)	agent1	blackboard
EXP-A1-006	1.0	0	keep	momentum_threshold=0.05 (avg_steps=137.0)	agent1	blackboard
EXP-008	0.0	0	discard	velocity_gain=0.0: total failure — THIS is the key param	agent0	blackboard
EXP-A2-001	0.98	0	keep	coast_zone_width=0.3, right_bias=-0.5: slight degradation but faster avg steps (126 vs 137)	agent2	blackboard
EXP-A1-007	1.0	0	keep	position_switch_point=-0.1 (avg_steps=137.0)	agent1	blackboard
EXP-A1-008	1.0	0	keep	position_switch_point=-0.5 (avg_steps=137.0)	agent1	blackboard
EXP-A1-009	1.0	0	keep	position_switch_point=0.0 (avg_steps=137.0)	agent1	blackboard
EXP-009	1.0	0	keep	velocity_gain=1.0: still perfect	agent0	blackboard
EXP-A2-002	1.0	0	keep	position_switch_point=-1.0, peak_detection_weight=4.0: perfect score, faster avg steps (119.6 vs 137)	agent2	blackboard
EXP-010	1.0	0	keep	velocity_gain=0.1: still perfect — even tiny gain works	agent0	blackboard
EXP-A2-003	1.0	0	keep	position_switch_point=-1.2, peak_detection_weight=5.0: still perfect, avg steps 119.7	agent2	blackboard
