commit	score	memory_gb	status	description	agent	design
baseline	0.6103	0	keep	default config	setup	baseline
exp1-k50	0.5804	1.1	discard	k=50 BatchTopK (higher k hurts precision, worse than k=25 baseline)	agent3	BatchTopK-k50
exp001	0.6145	0	keep	DiverseTopKSAE k=40 diversity_coeff=0.02 (marginal gain over baseline)	agent2	DiverseTopKSAE
exp002-k50	0.5804	0	discard	BatchTopK k=50 (same as agent3 finding, higher k hurts precision)	agent0	BatchTopK-k50
exp003-ista	0.6647	1.9	keep	ISTABatchTopK 3 steps step_size=0.3 k=25 (iterative encoder refinement, +5.4% over baseline)	agent1	ISTABatchTopK
exp004-matryoshka	0.7551	1.1	keep	MatryoshkaBatchTopK widths=[256,512,1024,2048,4096] k=25 use_matryoshka_aux_loss=true (+14.5% over baseline, +9% over ISTA)	agent3	MatryoshkaSAE
exp005-ista-matryoshka	0.8989	1.3	keep	ISTAMatryoshka widths=[256,512,1024,2048,4096] k=25 ista_steps=3 step_size=0.3 (+29% over baseline, +13.8% over Matryoshka alone)	agent3	ISTAMatryoshka
exp003-deep	0.4669	0	discard	DeepEncoderMatryoshka 2-layer MLP encoder + Matryoshka (WORSE: deep encoder hurt alignment, MCC=0.49)	agent0	DeepEncoderMatryoshka
exp006-ista5-matryoshka	0.9175	1.3	keep	ISTAMatryoshka widths=[256,512,1024,2048,4096] k=25 ista_steps=5 step_size=0.3 (+30.7% over baseline, +1.9% over 3-step ISTA)	agent3	ISTAMatryoshka-5step
exp006-residual	0.6744	2.0	keep	ResidualSAE 2-encoder (k_pass1=15 k_pass2=10) — separate residual encoder helps slightly but Matryoshka needed	agent2	ResidualSAE
exp006-lista-matryoshka	0.9215	1.3	keep	LISTAMatryoshka: separate W_corr for residual correction, 5 ISTA steps, k=25, Matryoshka widths=[256,512,1024,2048,4096] (+3.2% over ISTAMatryoshka, +51% over baseline)	agent1	LISTAMatryoshka
exp004-lista	0.9215	0	keep	LISTAMatryoshka 5 steps step_size=0.3 separate W_corr + Matryoshka (NEW BEST! +31.1% over baseline, +0.4% over ISTA-5)	agent0	LISTAMatryoshka
exp007-lista-k35	0.8141	1.3	discard	LISTAMatryoshka k=35 (higher k hurts even with LISTA+Matryoshka, -10.7% vs k=25)	agent1	LISTAMatryoshka-k35
exp005-finer	0.9213	0	discard	LISTAMatryoshka finer widths [128,256,...,4096] 5 steps (same as standard widths, 0.9213 vs 0.9215)	agent0	LISTAMatryoshka-finer
exp008-perstep-lista	0.9142	1.3	discard	PerStepLISTA: per-step W_corr + learned step_size, 5 ISTA steps, k=25, Matryoshka — worse than shared W_corr LISTA (0.9215), likely overfit from 5x more correction params	agent1	PerStepLISTA
exp009-perstep-lista-confirm	0.9142	1.3	discard	PerStepLISTA confirmation: per-step W_corr + learned step_size, 5 steps, k=25 — confirms agent1 finding, worse than shared W_corr (0.9215)	agent2	PerStepLISTA
exp006-lista7	0.9193	0	discard	LISTAMatryoshka 7 steps step_size=0.2 (slightly worse than 5-step/0.3, 0.9193 vs 0.9215)	agent0	LISTAMatryoshka-7step
exp009-fista-matryoshka	0.9131	1.3	discard	FISTAMatryoshka: Nesterov momentum + LISTA W_corr, 5 steps k=25 — worse than LISTA (0.9215), momentum destabilizes TopK selection	agent1	FISTAMatryoshka
exp010-fista	0.9131	1.3	discard	FISTAMatryoshka: Nesterov momentum + LISTA, 5 steps, step_size=0.3, k=25 — momentum hurts with non-smooth TopK activation (0.9131 vs 0.9215 LISTA)	agent2	FISTAMatryoshka
exp007-ista5-200m	0.9116	1.1	discard	ISTAMatryoshka 5 steps 200M samples — WORSE than 50M (0.9116 vs 0.9175), lr decay over 4x more steps may over-anneal	agent3	ISTAMatryoshka-200M
exp010-lista-lr1e3	0.7938	1.3	discard	LISTAMatryoshka lr=1e-3 (3.3x default) — much worse, higher LR prevents fine encoder-decoder alignment convergence	agent1	LISTAMatryoshka-lr1e3
exp011-lowrank-lista	0.9115	1.3	discard	LowRankLISTA: W_corr=W_enc+A@B rank=64, 5 steps, k=25 — rank-64 too restrictive, worse than full W_corr LISTA (0.9215) and even ISTA (0.9175)	agent2	LowRankLISTA
exp008-warm-lista	0.9134	1.3	discard	WarmLISTA: W_corr init from W_enc + learned step_size, 5 steps, k=25 — warm init constrains W_corr too close to W_enc (0.9134 vs 0.9215 random init)	agent3	WarmLISTA
exp009-lista-bs4096	0.8883	3.1	discard	LISTAMatryoshka batch_size=4096 (4x fewer gradient steps: 12207 vs 48828, insufficient convergence)	agent3	LISTAMatryoshka-bs4096
exp012-curriculum-lista	0.9043	1.3	discard	CurriculumLISTA: delayed Matryoshka warmup (30% off, 30-60% ramp), 5 LISTA steps — early absorption can't be undone, Matryoshka needed from start (0.9043 vs 0.9215)	agent2	CurriculumLISTA
exp007-lista-200m	0.9164	1.3	discard	LISTAMatryoshka 200M samples (WORSE than 50M: 0.9164 vs 0.9215, lr decay over-annealing same as ISTA 200M)	agent0	LISTAMatryoshka-200M
exp010-lista-100m	0.9185	1.3	discard	LISTAMatryoshka 100M samples (WORSE: 0.9185 vs 0.9215 at 50M, lr decay over 2x steps still hurts)	agent3	LISTAMatryoshka-100M
