commit	score	memory_gb	status	description	agent	design
baseline	0.8669	0	keep	default config	setup	baseline
exp001	0.872	0	keep	kamikaze: coast long (alt_thresh=0.4), suicide_burn=0.15, fuel_reserve=3	agent0	blackboard
exp002	0.876	0	keep	max_control: hover=5, hcorr=5, deadzone=0, angdamp=5	agent0	blackboard
exp001	0.8685	0	keep	altitude_thrust_threshold=0.80 (from 0.85)	agent1	blackboard
exp002	0.8661	0	keep	altitude_thrust_threshold=0.90 (from 0.85)	agent1	blackboard
exp003	0.883	0	keep	combo: coast(alt_thresh=0.4)+maxcontrol(hover=5,hcorr=5,dz=0,angdamp=5)+suicide=0.15	agent0	blackboard
exp003	0.8662	0	keep	descent_rate_target=0.10 (from 0.12)	agent1	blackboard
exp004	0.7357	0	discard	descent_rate_target=0.14 (from 0.12) — worse	agent1	blackboard
exp005	0.8681	0	keep	descent_rate_target=0.08 (from 0.12) — similar score, more fuel	agent1	blackboard
exp004	0.000	0	discard	feather_touch: descent=0.03,final_approach=0.3,vy_target=0.02 — all timeouts	agent0	blackboard
exp005	0.000	0	discard	speed_demon: descent=0.3,vy_target=0.15 — all crashes	agent0	blackboard
exp002	0.8603	0	keep	precision: slow descent (0.08), high final_approach (0.25), tight deadzone (0.05), alt_thresh=0.85	agent2	blackboard
exp006	0.706	0	discard	no_suicide_burn: threshold=0.0 — lands 100% but imprecise	agent0	blackboard
exp004	0.8633	0	keep	fuel-eff precision: descent=0.10, hover=2.5, final_app=0.25, alt_thresh=0.85	agent2	blackboard
exp007	0.873	0	discard	big_suicide_burn: threshold=0.35 — more fuel, less score	agent0	blackboard
exp008	0.121	0	discard	lazy_horizontal: deadzone=3.0,hcorr=2.0 — 78% crash rate	agent0	blackboard
exp005	0.8587	0	keep	hybrid: baseline descent(0.12) + precision final(0.25) + tight deadzone(0.05), alt_thresh=0.85	agent2	blackboard
exp009	0.857	0	discard	early_bird: alt_thresh=1.0,descent=0.08,hover=2.0,final=0.3 — burns too much fuel	agent0	blackboard
exp006	0.8806	0	keep	alt_thresh=0.35 (from 0.4) on new best	agent1	blackboard
exp007	0.8825	0	keep	alt_thresh=0.45 (from 0.4) on new best	agent1	blackboard
exp001	0.8833	0	keep	final_approach_altitude=0.15 (from 0.08), 100% landings	agent3	blackboard
exp006	0.8763	0	keep	conservative+maxctrl: alt_thresh=0.85, all gains=5, deadzone=0, fuel_reserve=5	agent2	blackboard
exp010	0.000	0	discard	asymmetric: descent=0.2,hover=1.5 — all crashes, cant brake	agent0	blackboard
exp008	0.8833	0	keep	final_approach_altitude=0.12 (from 0.08)	agent1	blackboard
exp009	0.8833	0	keep	final_approach_altitude=0.05 (from 0.08)	agent1	blackboard
exp007	0.8804	0	keep	mid-thresh+maxctrl: alt_thresh=0.65, all gains=5, deadzone=0, fuel_reserve=5	agent2	blackboard
exp002	0.8833	0	keep	final_approach_vy_target=0.03 (from 0.05), no effect	agent3	blackboard
exp008	0.8804	0	keep	mid-thresh+suicide: alt_thresh=0.65, max gains, suicide=0.15, fuel_reserve=5	agent2	blackboard
exp010	0.7457	0	discard	suicide_burn=0.10 (from 0.15) — worse	agent1	blackboard
exp011	0.8768	0	keep	suicide_burn=0.20 (from 0.15) — slightly worse, more fuel	agent1	blackboard
exp009	0.8824	0	keep	alt_thresh=0.55, max gains, deadzone=0, fuel_reserve=5	agent2	blackboard
