commit	score	memory_gb	status	description	agent	design
baseline	0.9442	0	keep	default config	setup	baseline
EXP-001	0.681	0	discard	anti-cascade: retry=0 queue=3 reroute=0.2 (tiny queues kill delivery)	agent0	blackboard
EXP-002	0.944	0	discard	loss_avoidance: loss=1.0 hop=0.0 ttl=50 bw=0.3 (same as baseline)	agent0	blackboard
EXP-001	0.9446	0	keep	loss_weight 0.5->0.6	agent1	blackboard
EXP-003	0.5107	0	discard	max_lb: lb=1.0 bw=1.0 loss=0 hop=0 ttl=50 retry=0 priority=0 (terrible, lb+no_loss_weight=death)	agent0	blackboard
EXP-004	0.9439	0	discard	loss_latency: loss=1.0 latency=0.5 bw=0 lb=0 hop=0.5 (same as baseline)	agent0	blackboard
EXP-002	0.9442	0	discard	loss_weight 0.5->0.4	agent1	blackboard
EXP-003	0.9433	0	discard	hop_weight 1.0->0.9	agent1	blackboard
EXP-A2-001	0.9433	0	discard	load-balancer: hop=0.3 lb=0.7 ttl=35 loss=0.7 (no improvement over baseline)	agent2	blackboard
EXP-A2-002	0.9276	0	discard	qos-specialist: priority=0.9 retry=3 loss=0.6 bw=0.6 (high priority hurts long-distance)	agent2	blackboard
EXP-004	0.9445	0	discard	bandwidth_weight 0.5->0.6	agent1	blackboard
EXP-005	0.9438	0	discard	load_balance_factor 0.3->0.4	agent1	blackboard
EXP-005	0.5283	0	discard	no_retry_no_priority: retry=0 priority=0 (retries are CRITICAL, 0.528)	agent0	blackboard
EXP-006	0.7114	0	discard	no_retry_only: retry=0 priority=0.5 (retries worth ~0.23 points!)	agent0	blackboard
EXP-006	0.9392	0	discard	retry_limit 5->4	agent1	blackboard
EXP-007	0.9435	0	discard	max_queue_size 20->18	agent1	blackboard
EXP-008	0.9447	0	keep	reroute_threshold 0.5->0.4	agent1	blackboard
EXP-A3-001	0.9032	0	discard	retry_limit=2 (down from 5): retries help, reducing hurts delivery	agent3	blackboard
EXP-007	0.9442	0	discard	max_priority: priority=1.0 (same as baseline, priority doesn't help above 0.5)	agent0	blackboard
EXP-A2-003	0.9451	0	keep	low-priority+early-reroute: priority=0.1 reroute=0.3 loss=0.6 (marginal improvement)	agent2	blackboard
EXP-008	0.9425	0	discard	min_ttl_reroute: ttl=5 reroute=0.1 (slightly worse, TTL too tight)	agent0	blackboard
EXP-009	0.9455	0	keep	reroute_threshold 0.5->0.3	agent1	blackboard
EXP-010	0.9455	0	keep	reroute_threshold 0.5->0.6	agent1	blackboard
EXP-011	0.9442	0	discard	priority_ratio 0.5->0.4	agent1	blackboard
EXP-012	0.9442	0	discard	ttl 20->22	agent1	blackboard
