commit	score	memory_gb	status	description	agent	design
baseline	1.0	0	keep	default config	setup	baseline
exp001	1.0	0	keep	angle+angvel only (4.0/2.0), no position feedback	agent0	blackboard
exp002	0.0852	0	discard	pure angle_weight=4 only, no angvel — terrible	agent0	blackboard
exp003	1.0	0	keep	ALL params maxed (10/10/5/5/0/20/2/5) — still perfect	agent0	blackboard
exp004	0.387	0	discard	angular_velocity only (default) — position drift kills	agent0	blackboard
exp005	1.0	0	keep	pure anticipation_horizon=2.0, all weights=0 — perfect!	agent0	blackboard
exp006	0.1716	0	discard	anticipation_horizon=0.5 only, all weights=0 — not enough	agent0	blackboard
exp007	0.9698	0	keep	tiny angle+angvel=0.1 each — almost perfect, very robust	agent0	blackboard
exp008	0.0187	0	discard	max bias=2.0 only — always push right, terrible	agent0	blackboard
exp009	0.0628	0	discard	position_centering=5.0 only, sharpness=0.1 — useless alone	agent0	blackboard
EXP-001	1.0	0	keep	angle_weight=1.0 (from 2.0), all else baseline	agent1	blackboard
EXP-002	1.0	0	keep	angle_weight=4.0 (from 2.0), all else baseline	agent1	blackboard
EXP-003	1.0	0	keep	angular_velocity_weight=0.5 (from 1.0), all else baseline	agent1	blackboard
EXP-004	0.7947	0	keep	position_weight=0.0 (from 0.5), all else baseline — position drift	agent1	blackboard
EXP-005	1.0	0	keep	velocity_weight=0.0 (from 0.5), all else baseline	agent1	blackboard
EXP-006	1.0	0	keep	response_sharpness=5.0 (from 1.0), all else baseline	agent1	blackboard
EXP-007	1.0	0	keep	anticipation_horizon=0.0 (from 0.5), all else baseline	agent1	blackboard
EXP-008	1.0	0	keep	position_centering=0.0 (from 0.5), all else baseline	agent1	blackboard
EXP-A2-001	1.0	0	keep	minimalist: angle_weight=2 angular_vel=1 only, all else zero	agent2	blackboard
exp010	0.9698	0	keep	angle=1+angvel=1 minimal — 0.97, 6 position deaths	agent0	blackboard
exp011	1.0	0	keep	angle=2+angvel=1+sharpness=20 — PERFECT, high sharpness compensates	agent0	blackboard
exp012	0.0185	0	discard	position+velocity only (5/5), no angle — useless	agent0	blackboard
exp013	0.12	0	discard	angvel=1+centering=5 — centering alone bad	agent0	blackboard
EXP-A2-002	0.387	0	keep	angular_velocity_weight=1 only, all else zero — position drift	agent2	blackboard
EXP-A2-003	0.0852	0	keep	angle_weight=2 only, no angular_velocity — oscillates and crashes	agent2	blackboard
EXP-009	1.0	0	keep	MINIMAL: aw=2,avw=1,pw=0.2,rest=0 — perfect	agent1	blackboard
EXP-010	1.0	0	keep	MINIMAL: aw=2,avw=1,pw=0.1,rest=0 — perfect	agent1	blackboard
EXP-011	0.6121	0	keep	position_centering=0.5 alone (no pw) — angle kills	agent1	blackboard
EXP-012	0.8602	0	keep	position_centering=0.2 alone — position drift	agent1	blackboard
EXP-013	0.9785	0	keep	MINIMAL: aw=2,avw=1,pw=0.3,rest=0 — near perfect	agent1	blackboard
EXP-014	1.0	0	keep	MINIMAL: aw=2,avw=1,pw=0.05,rest=0 — perfect!	agent1	blackboard
EXP-015	0.0794	0	discard	angular_velocity_weight=0.0 — CRITICAL param	agent1	blackboard
EXP-016	0.2439	0	discard	angle_weight=0.0 — CRITICAL param	agent1	blackboard
EXP-A2-004	1.0	0	keep	angle=2 angvel=1 sharpness=20 (max) — still perfect	agent2	blackboard
EXP-A2-005	1.0	0	keep	angle=2 angvel=1 sharpness=0.1 (min) — still perfect	agent2	blackboard
EXP-A2-006	0.0628	0	discard	position_centering=5 only, no angle — pole falls immediately	agent2	blackboard
EXP-A2-007	0.9698	0	keep	angle=0.5 angvel=0.5 — near perfect, some position drift	agent2	blackboard
exp014	0.0186	0	discard	bias=-2+anticipation=2+sharpness=20 — bias kills anticipation	agent0	blackboard
exp015	1.0	0	keep	min sharpness=0.1 + anticipation=2.0 — still perfect!	agent0	blackboard
exp016	0.0852	0	discard	max angle=10+sharpness=20 no angvel — angvel essential	agent0	blackboard
exp017	0.2692	0	discard	equal weights=0.5 + sharpness=10 — position weights hurt	agent0	blackboard
EXP-A2-008	0.9698	0	keep	angle=0.3 angvel=0.3 — same 0.97 as 007, position drift	agent2	blackboard
EXP-A2-009	1.0	0	keep	ALL PARAMS MAX — angle=10 angvel=10 pos=5 vel=5 sharp=20 antic=2 center=5 — still perfect	agent2	blackboard
EXP-A2-010	0.0198	0	discard	angle_bias=2.0 — asymmetric push destroys balance instantly	agent2	blackboard
EXP-A2-011	0.0734	0	discard	angle_bias=0.5 — even moderate bias is fatal	agent2	blackboard
exp018	0.9856	0	keep	anticipation=1.0 only — 0.986, threshold near here	agent0	blackboard
exp019	1.0	0	keep	anticipation=1.5 only — perfect, min for 1.0	agent0	blackboard
