commit	score	memory_gb	status	description	agent	design
baseline	1.0	0	keep	default config	setup	baseline
EXP001	0.38	0	discard	attack_power=12 (from 18), huge drop	agent1	blackboard
EXP002	0.66	0	discard	defense=8 (from 15), significant drop	agent1	blackboard
EXP003	0.04	0	discard	max_hp=55 (from 85), devastating	agent1	blackboard
EXP004	0.38	0	discard	special_power=1.5 (from 2.8), huge drop	agent1	blackboard
EXP005	1.0	0	keep	heal_amount=0 (from 12), no effect, saves 36 budget	agent1	blackboard
EXP006	1.0	0	keep	aggression=0.3 (from 0.75), no effect on win rate	agent1	blackboard
EXP-001	1.0	0	keep	glass cannon: hp50 atk25 def5 sp3.5 max-aggression (triggers adaptation, still 1.0 in 5.2 turns)	agent0	blackboard
EXP-002	0.0	0	discard	max range sniper: range6 spd1 agg0.1 kite6 (champion rushes with spd3, total loss)	agent0	blackboard
EXP-003	1.0	0	keep	pure turtle: hp200 atk5 def5 heal15 agg0.0 (wins by timeout 200 turns, survives on healing)	agent0	blackboard
EXP007	1.0	0	keep	heal=0 attack=25, wins in 6.0 turns avg, stat=465	agent1	blackboard
EXP008	1.0	0	keep	heal=0 hp=120, stat=472	agent1	blackboard
EXP009	1.0	0	keep	heal=0 defense=27, stat=473	agent1	blackboard
EXP010	1.0	0	keep	heal=0 eregen=3 attack=22, stat=443 efficient	agent1	blackboard
EXP011	1.0	0	keep	heal=0 eregen=2 energy=60 attack=26, stat=414 very efficient	agent1	blackboard
EXP012	0.78	0	discard	range=2 heal=0 attack=24, range matters	agent1	blackboard
EXP013	0.92	0	discard	range=1 melee heal=0 attack=30, range critical	agent1	blackboard
EXP014	1.0	0	keep	heal=0 attack=25 aggression=1.0 retreat=0, full berserker	agent1	blackboard
EXP015	1.0	0	keep	heal=0 attack=25 special_cd=2, 5.0 avg turns fastest	agent1	blackboard
EXP016	1.0	0	keep	heal=0 attack=25 attack_cost=5, cheap attacks	agent1	blackboard
EXP-004	0.0	0	discard	speed4 berserker: spd4 hp50 atk15 (too little budget left for damage, cost 272)	agent0	blackboard
EXP-005	0.0	0	discard	all-in special: sp4.0 hp50 (deals 95.6 but dies too fast with 50hp)	agent0	blackboard
EXP-006	0.0	0	discard	energy vampire: regen12 hp50 atk15 (not enough burst, dies before kill)	agent0	blackboard
EXP-A2-001	1.0	0	keep	turtle: hp130/def35/atk10/range1/heal20/spd1, 200avg turns	agent2	blackboard
EXP-007	0.0	0	discard	max defense 40 tank: def40 spd1 range1 (can't reach enemy, diminishing returns on defense)	agent0	blackboard
EXP-008	0.66	0	keep	strategy-only mirror: champion stats + agg0.9 retreat0.05 heal0.15 burst0.45 (strategy alone = 0.66)	agent0	blackboard
EXP-009	0.02	0	discard	all-triggers: hp50 atk25 range5 agg0.1 (triggers all 4 counters = dead)	agent0	blackboard
EXP-A2-002	0.0	0	discard	sniper-weak: atk10/range4/special1.0, underbudget 409/490	agent2	blackboard
EXP-A2-003	1.0	0	keep	kiter: range4/regen8/atkcost5/agg0.35/kite5, 17.4avg turns	agent2	blackboard
EXP-010	0.98	0	keep	sustain brawler: hp150 atk19 range1 heal8 agg0.9 (98% but range1 costs 1 match, 20.8 turns)	agent0	blackboard
EXP-011	1.0	0	keep	anti-kite rush: range1 atk19 sp3.0 regen6 agg1.0 (1.0 in 8 turns, range1 viable with burst)	agent0	blackboard
EXP-012	0.0	0	discard	minimum budget: all stats min (cost 177, no damage = no chance)	agent0	blackboard
EXP-A2-004	1.0	0	keep	glass-cannon: atk30/special4.0/hp50/def5, triggers counter but kills in 5 turns	agent2	blackboard
EXP-013	0.94	0	keep	range4 kiter: range4 agg0.4 kite4 sp2.5 (94%, range4 works but not as good as range3 aggro)	agent0	blackboard
EXP-014	0.0	0	crash	expensive actions: atk_cost25 heal_cost40 energy200 (BUDGET EXCEEDED 527>490.4)	agent0	blackboard
EXP-015	0.92	0	keep	long cooldown specialist: sp3.2 cd10 (92%, big specials too rare to carry)	agent0	blackboard
EXP-A2-005	0.0	0	discard	all-minimums: budget 177, loses 100%	agent2	blackboard
EXP-A2-006	1.0	0	keep	sniper-range6: special4.0/range6/spd1/budget357, wins 100% in 7.6t despite both counters	agent2	blackboard
a3-001	1.0	0	keep	best config baseline (sp=2.8,cd=3,atk=18,hp=85,def=15,agg=0.75)	agent3	blackboard
a3-002	0.6	0	discard	sensitivity: sp=2.0 (champion default) crashes win rate	agent3	blackboard
a3-003	0.98	0	keep	sensitivity: sp=2.4 still strong	agent3	blackboard
a3-004	0.84	0	discard	sensitivity: cd=5 (champion default) drops significantly	agent3	blackboard
a3-005	1.0	0	keep	champion stats + cd=2 only = PERFECT (simplest winning change)	agent3	blackboard
a3-006	1.0	0	keep	sp=4.0,heal=0,atk=19,cd=2,range=4,regen=6 (maxed burst build)	agent3	blackboard
a3-007	0.74	0	discard	turtle: def=35,heal=20,atk=5,sp=1.0 — mediocre	agent3	blackboard
a3-008	0.74	0	discard	strategy-only: agg=0.8,burst=0.4 on champion stats — limited	agent3	blackboard
a3-009	0.90	0	keep	sp=3.0,cd=3,heal=0 — threshold for near-perfect	agent3	blackboard
a3-010	1.0	0	keep	sp=3.5,cd=3,heal=0 — min sp for 1.0 at cd=3	agent3	blackboard
EXP017	1.0	0	keep	hp60 e50 er1 a26 d5 s1 sp2.0 r3 h0 cd2 ac5 stat=315 MINIMAL	agent1	blackboard
EXP018	0.34	0	discard	hp50 e50 er1 a26 d5 s1 stat=321 too fragile	agent1	blackboard
